Nome do Banco|Nome da Tabela/View|PK: xxx FK: xxx
branco|dbo.Ativo_Modelo|FK: Id_Ativo_Fabricante  branco dbo.Ativo_Fabricante(Id_Ativo_Fabricante)
branco|dbo.Ativo_Modelo|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Ativo_Modelo|PK: Id_Ativo_Modelo
branco|dbo.Ativo_Parametro|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Ativo_Parametro|FK: Id_Ativo_Fr_Aquisicao  branco dbo.Ativo_Fr_Aquisicao(Id_Ativo_Fr_Aquisicao)
branco|dbo.Ativo_Parametro|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Ativo_Parametro|FK: Id_Contrato  branco dbo.Contrato(Id_Contrato)
branco|dbo.Ativo_Parametro|FK: Id_Tronco_Grupo  branco dbo.Tronco_Grupo(Id_Tronco_Grupo)
branco|dbo.Ativo_Parametro|PK: Id_Ativo
branco|dbo.Ativo_Status|PK: Id_Ativo_Status
branco|dbo.Ativo_Tipo_Contato_Corporativo|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Ativo_Tipo_Grupo_Tipo|PK: Id_Ativo_Tipo_Grupo_Tipo
branco|dbo.Ativo_Tipo_Grupo|PK: Id_Ativo_Tipo_Grupo
branco|dbo.Ativo_Tipo_Imagem|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Ativo_Tipo_Imagem|PK: Id_Ativo_Tipo
branco|dbo.Ativo_Tipo_Sub_Grupo|PK: Id_Ativo_Tipo_Sub_Grupo
branco|dbo.Ativo_Tipo|FK: Id_Ativo_Tipo_Grupo  branco dbo.Ativo_Tipo_Grupo(Id_Ativo_Tipo_Grupo)
branco|dbo.Ativo_Tipo|FK: Id_Ativo_Tipo_Grupo_Tipo  branco dbo.Ativo_Tipo_Grupo_Tipo(Id_Ativo_Tipo_Grupo_Tipo)
branco|dbo.Ativo_Tipo|FK: Id_Ativo_Tipo_Sub_Grupo  branco dbo.Ativo_Tipo_Sub_Grupo(Id_Ativo_Tipo_Sub_Grupo)
branco|dbo.Ativo_Tipo|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Ativo_Tipo|PK: Id_Ativo_Tipo
branco|dbo.Ativo|FK: Id_Ativo_Modelo  branco dbo.Ativo_Modelo(Id_Ativo_Modelo)
branco|dbo.Ativo|FK: Id_Ativo_Status  branco dbo.Ativo_Status(Id_Ativo_Status)
branco|dbo.Ativo|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Ativo|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Ativo|PK: Id_Ativo
branco|dbo.Auditoria_Acompanhamento|FK: Id_Auditoria_Conta  branco dbo.Auditoria_Conta(Id_Auditoria_Conta)
branco|dbo.Auditoria_Acompanhamento|FK: Id_Auditoria_Lote  branco dbo.Auditoria_Lote(Id_Auditoria_Lote)
branco|dbo.Auditoria_Acompanhamento|FK: Id_Auditoria_Status  branco dbo.Auditoria_Status(Id_Auditoria_Status)
branco|dbo.Auditoria_Acompanhamento|PK: Id_Auditoria_Acompanhamento
branco|dbo.Auditoria_Conta|FK: Id_Auditoria_Lote  branco dbo.Auditoria_Lote(Id_Auditoria_Lote)
branco|dbo.Auditoria_Conta|PK: Id_Auditoria_Conta
branco|dbo.Auditoria_Contestacao|FK: Id_Fatura  branco dbo.Fatura(Id_Fatura)
branco|dbo.Auditoria_Contestacao|PK: Id_Auditoria_Contestacao
branco|dbo.Auditoria_Item|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Auditoria_Item|FK: Id_Auditoria_Resumo  branco dbo.Auditoria_Resumo(Id_Auditoria_Resumo)
branco|dbo.Auditoria_Item|FK: Id_Bilhete_Tipo  branco dbo.Bilhete_Tipo(Id_Bilhete_Tipo)
branco|dbo.Auditoria_Item|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Auditoria_Item|PK: Id_Auditoria_Item
branco|dbo.Auditoria_Lote|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Auditoria_Lote|PK: Id_Auditoria_Lote
branco|dbo.Auditoria_Resumo|PK: Id_Auditoria_Resumo
branco|dbo.Auditoria_Status|PK: Id_Auditoria_Status
branco|dbo.Auditoria_Texto|FK: Id_Auditoria_lote  branco dbo.Auditoria_Lote(Id_Auditoria_Lote)
branco|dbo.Auditoria_Texto|PK: Id_Auditoria_Texto
branco|dbo.Auditoria_Tipo|FK: Id_Auditoria_Conta  branco dbo.Auditoria_Conta(Id_Auditoria_Conta)
branco|dbo.Auditoria_Tipo|PK: Id_Auditoria_Tipo
branco|dbo.Bilhete_Data|FK: Id_Lote  branco dbo.Lote(Id_Lote)
branco|dbo.Bilhete_Historico_Resumo|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Bilhete_Historico_Resumo|PK: Dt_Historico
branco|dbo.Bilhete_Historico_Resumo|PK: Id_Lote
branco|dbo.Bilhete_Historico_Resumo|PK: Id_Usuario
branco|dbo.Bilhete_Manual_Tipo|FK: Id_Bilhete_Tipo  branco dbo.Bilhete_Tipo(Id_Bilhete_Tipo)
branco|dbo.Bilhete_Tipo|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Bilhete_Tipo|PK: Id_Bilhete_Tipo
branco|dbo.Bilhete|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Bilhete|FK: Id_Bilhete_Tipo  branco dbo.Bilhete_Tipo(Id_Bilhete_Tipo)
branco|dbo.Bilhete|FK: Id_Lote  branco dbo.Lote(Id_Lote)
branco|dbo.Bilhete|FK: Id_Tronco  branco dbo.Tronco(Id_Tronco)
branco|dbo.Bilhete|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Bilhete|PK: Id_Bilhete
branco|dbo.Cargo|PK: Id_Cargo
branco|dbo.Centro_Custo|PK: Id_Centro_Custo
branco|dbo.cg_Bi_Arquivo_Campo_Importacao|PK: Id_Campo
branco|dbo.Cg_Bi_Arquivo_Campo|FK: Id_Arquivo  branco dbo.Cg_Bi_Arquivo(Id_Arquivo)
branco|dbo.Cg_Bi_Arquivo_Campo|FK: Id_Campo_Bilhete  branco dbo.Cg_Bi_Si_Campo_Bilhete(Id_Campo_Bilhete)
branco|dbo.Cg_Bi_Arquivo_Campo|PK: Id_Arquivo_Campo
branco|dbo.Cg_Bi_Arquivo|PK: Id_Arquivo
branco|dbo.Cg_Bi_Si_Campo_Bilhete|PK: Id_Campo_Bilhete
branco|dbo.Conglomerado|PK: Id_Conglomerado
branco|dbo.Consumidor_log|PK: id_Consumidor_log
branco|dbo.Consumidor_Satus_Data|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Consumidor_Satus_Data|PK: Id_Consumidor
branco|dbo.Consumidor_Status|PK: Id_Consumidor_Status
branco|dbo.Consumidor_Tipo|PK: Id_Consumidor_Tipo
branco|dbo.Consumidor_Unidade_Fornecedor|FK: Id_Consumidor_Fornecedor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Consumidor_Unidade_Fornecedor|FK: Id_Consumidor_Unidade  branco dbo.Consumidor_Unidade(Id_Consumidor_Unidade)
branco|dbo.Consumidor_Unidade_Fornecedor|PK: Id_Consumidor_Fornecedor
branco|dbo.Consumidor_Unidade_Fornecedor|PK: Id_Consumidor_Unidade
branco|dbo.Consumidor_Unidade|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Consumidor_Unidade|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Consumidor_Unidade|PK: Id_Consumidor_Unidade
branco|dbo.Consumidor|FK: Id_Cargo  branco dbo.Cargo(Id_Cargo)
branco|dbo.Consumidor|FK: Id_Centro_Custo  branco dbo.Centro_Custo(Id_Centro_Custo)
branco|dbo.Consumidor|FK: Id_Consumidor_Status  branco dbo.Consumidor_Status(Id_Consumidor_Status)
branco|dbo.Consumidor|FK: Id_Consumidor_Tipo  branco dbo.Consumidor_Tipo(Id_Consumidor_Tipo)
branco|dbo.Consumidor|FK: Id_Departamento  branco dbo.Departamento(Id_Departamento)
branco|dbo.Consumidor|FK: Id_Empresa_Contratada  branco dbo.Empresa_Contratada(Id_Empresa_Contratada)
branco|dbo.Consumidor|FK: Id_Filial  branco dbo.Filial(Id_Filial)
branco|dbo.Consumidor|FK: Id_Secao  branco dbo.Secao(Id_Secao)
branco|dbo.Consumidor|FK: Id_Setor  branco dbo.Setor(Id_Setor)
branco|dbo.Consumidor|PK: Id_Consumidor
branco|dbo.Contrato_Aditivo|FK: Id_Contrato  branco dbo.Contrato(Id_Contrato)
branco|dbo.Contrato_Aditivo|PK: Id_Contrato_Aditivo
branco|dbo.Contrato_Bilhete|PK: DB_Tipo_Parametro
branco|dbo.Contrato_Indice|PK: Id_Contrato_Indice
branco|dbo.Contrato_SLA_Operacao|FK: Id_Contrato  branco dbo.Contrato(Id_Contrato)
branco|dbo.Contrato_SLA_Operacao|PK: Id_Contrato_SLA_Operacao
branco|dbo.Contrato_SLA_Servico|FK: Id_Contrato  branco dbo.Contrato(Id_Contrato)
branco|dbo.Contrato_SLA_Servico|FK: Id_Contrato_Indice  branco dbo.Contrato_Indice(Id_Contrato_Indice)
branco|dbo.Contrato_SLA_Servico|FK: Id_Operadora  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Contrato_SLA_Servico|PK: Id_Contrato_SLA_Servico
branco|dbo.Contrato_Status|PK: Id_Contrato_Status
branco|dbo.Contrato|FK: Id_Contrato_Indice  branco dbo.Contrato_Indice(Id_Contrato_Indice)
branco|dbo.Contrato|FK: Id_Contrato_Status  branco dbo.Contrato_Status(Id_Contrato_Status)
branco|dbo.Contrato|FK: Id_Empresa_Contratada  branco dbo.Empresa_Contratada(Id_Empresa_Contratada)
branco|dbo.Contrato|FK: Id_Filial  branco dbo.Filial(Id_Filial)
branco|dbo.Contrato|FK: Id_Servico  branco dbo.Servico(Id_Servico)
branco|dbo.Contrato|PK: Id_Contrato
branco|dbo.Custo_Fixo_Item|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Custo_Fixo_Item|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Custo_Fixo_Item|FK: Id_Custo_Fixo  branco dbo.Custo_Fixo(Id_Custo_Fixo)
branco|dbo.Custo_Fixo_Item|PK: Id_Custo_Fixo_Item
branco|dbo.Custo_Fixo|PK: Id_Custo_Fixo
branco|dbo.Departamento|PK: Id_Departamento
branco|dbo.Empresa_Contratada|PK: Id_Empresa_Contratada
branco|dbo.Empresa|FK: Id_Holding  branco dbo.Holding(Id_Holding)
branco|dbo.Empresa|PK: Id_Empresa
branco|dbo.Estoque_Aparelho_Status|PK: Id_Estoque_Aparelho_Status
branco|dbo.Estoque_Aparelho|FK: Id_Ativo_Modelo  branco dbo.Ativo_Modelo(Id_Ativo_Modelo)
branco|dbo.Estoque_Aparelho|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Estoque_Aparelho|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Estoque_Aparelho|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Estoque_Aparelho|FK: Id_Estoque_Aparelho_Status  branco dbo.Estoque_Aparelho_Status(Id_Estoque_Aparelho_Status)
branco|dbo.Estoque_Aparelho|FK: Id_Estoque_Endereco_Entrega  branco dbo.Estoque_Endereco_Entrega(Id_Estoque_Endereco_Entrega)
branco|dbo.Estoque_Aparelho|FK: Id_Estoque_Nota_Fiscal  branco dbo.Estoque_Nota_Fiscal(Id_Estoque_Nota_Fiscal)
branco|dbo.Estoque_Aparelho|FK: Id_Estoque_Nota_Fiscal  branco dbo.Estoque_Nota_Fiscal(Id_Estoque_Nota_Fiscal)
branco|dbo.Estoque_Aparelho|PK: Id_Aparelho
branco|dbo.Estoque_Consumidor|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Estoque_Endereco_Entrega|PK: Id_Estoque_Endereco_Entrega
branco|dbo.Estoque_Nota_Fiscal|FK: Id_Ativo_Fr_Aquisicao  branco dbo.Ativo_Fr_Aquisicao(Id_Ativo_Fr_Aquisicao)
branco|dbo.Estoque_Nota_Fiscal|PK: Id_Estoque_Nota_Fiscal
branco|dbo.Fatura_Parametro_Campo|FK: Id_Fatura_Parametro  branco dbo.Fatura_Parametro(Id_Fatura_Parametro)
branco|dbo.Fatura_Parametro_Campo|PK: Id_Fatura_Parametro_Campo
branco|dbo.Fatura_Parametro|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Fatura_Parametro|FK: Id_Contrato  branco dbo.Contrato(Id_Contrato)
branco|dbo.Fatura_Parametro|FK: Id_Fatura_Tipo_Rateio  branco dbo.Fatura_Tipo_Rateio(Id_Fatura_Tipo_Rateio)
branco|dbo.Fatura_Parametro|PK: Id_Fatura_Parametro
branco|dbo.Fatura_Plano_Conta|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Fatura_Plano_Conta|FK: Id_Contrato  branco dbo.Contrato(Id_Contrato)
branco|dbo.Fatura_Plano_Conta|FK: Id_Empresa  branco dbo.Empresa(Id_Empresa)
branco|dbo.Fatura_Plano_Conta|PK: Id_Fatura_Plano_Conta
branco|dbo.Fatura_Tipo_Rateio|PK: Id_Fatura_Tipo_Rateio
branco|dbo.Fatura|FK: Id_Fatura_Parametro  branco dbo.Fatura_Parametro(Id_Fatura_Parametro)
branco|dbo.Fatura|PK: Id_Fatura
branco|dbo.Filial|FK: Id_Empresa  branco dbo.Empresa(Id_Empresa)
branco|dbo.Filial|PK: Id_Filial
branco|dbo.Holding|PK: Id_Holding
branco|dbo.Justificativa_Excedente|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Justificativa_Excedente|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Justificativa_Excedente|FK: Id_Mail_Caixa_Siada  branco dbo.Mail_Caixa_Saida(Id_Mail_Caixa_Siada)
branco|dbo.Justificativa_Excedente|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Log_Alteracao_Cadastro_Consumidor|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Log_Alteracao_Contrato_SLA_Servico|FK: Id_Contrato_SLA_Servico  branco dbo.Contrato_SLA_Servico(Id_Contrato_SLA_Servico)
branco|dbo.Log_Rastreio_Estoque_Aparelho|FK: Id_Aparelho  branco dbo.Estoque_Aparelho(Id_Aparelho)
branco|dbo.Log_Rastreio_Estoque_Aparelho|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Log_Rastreio_Estoque_Aparelho|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Lote_Log_Criacao|FK: Id_Centro_Custo  branco dbo.Centro_Custo(Id_Centro_Custo)
branco|dbo.Lote_Log_Criacao|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Lote_Log_Criacao|FK: Id_Departamento  branco dbo.Departamento(Id_Departamento)
branco|dbo.Lote_Log_Criacao|FK: Id_Filial  branco dbo.Filial(Id_Filial)
branco|dbo.Lote_Log_Criacao|FK: Id_Lote  branco dbo.Lote(Id_Lote)
branco|dbo.Lote_Log_Criacao|FK: Id_Secao  branco dbo.Secao(Id_Secao)
branco|dbo.Lote_Log_Criacao|FK: Id_Setor  branco dbo.Setor(Id_Setor)
branco|dbo.Lote_Log_Criacao|PK: Id_Lote_Log_Criacao
branco|dbo.Lote_Marcacao|FK: Id_Lote  branco dbo.Lote(Id_Lote)
branco|dbo.Lote_Marcacao|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Lote_Marcacao|PK: Id_Lote_Marcacao
branco|dbo.Lote|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Lote|PK: Id_Lote
branco|dbo.Mail_Caixa_Saida|FK: Id_Mail_Sender  branco dbo.Mail_Sender(Id_Mail_Sender)
branco|dbo.Mail_Caixa_Saida|PK: Id_Mail_Caixa_Siada
branco|dbo.Mail_Sender|PK: Id_Mail_Sender
branco|dbo.Nota_Fiscal_Fatura|PK: Id_Nota_Fiscal
branco|dbo.Politica_Consumidor|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Politica_Consumidor|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Rateio_Ativo_Critica|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Rateio_Ativo_Critica|FK: Id_Rateio  branco dbo.Rateio(Id_Rateio)
branco|dbo.Rateio_Item|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Rateio_Item|FK: Id_Centro_Custo  branco dbo.Centro_Custo(Id_Centro_Custo)
branco|dbo.Rateio_Item|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Rateio_Item|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Rateio_Item|FK: Id_Filial  branco dbo.Filial(Id_Filial)
branco|dbo.Rateio_Item|FK: Id_Rateio  branco dbo.Rateio(Id_Rateio)
branco|dbo.Rateio_Item|PK: Id_Rateio_Item
branco|dbo.Rateio|FK: Id_Fatura_Parametro  branco dbo.Fatura_Parametro(Id_Fatura_Parametro)
branco|dbo.Rateio|PK: Id_Rateio
branco|dbo.Rl_Ativo_Centro_Custo|FK: Id_Ativo  branco dbo.Ativo_Parametro(Id_Ativo)
branco|dbo.Rl_Ativo_Centro_Custo|FK: Id_Centro_Custo  branco dbo.Centro_Custo(Id_Centro_Custo)
branco|dbo.Rl_Ativo_Centro_Custo|PK: Id_Ativo
branco|dbo.Rl_Ativo_Centro_Custo|PK: Id_Centro_Custo
branco|dbo.Rl_Ativo_Tipo_Ativo_Complemento|FK: Id_Ativo_Complemento  branco dbo.Ativo_Complemento(Id_Ativo_Complemento)
branco|dbo.Rl_Ativo_Tipo_Ativo_Complemento|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Rl_Ativo_Tipo_Ativo_Complemento|PK: Id_Ativo_Tipo
branco|dbo.Rl_Consumidor_Ativo|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Rl_Consumidor_Ativo|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Rl_Consumidor_Ativo|PK: Id_Ativo
branco|dbo.Rl_Consumidor_Ativo|PK: Id_Consumidor
branco|dbo.Rl_Estoque_Aparelho_Ativo|FK: Id_Aparelho  branco dbo.Estoque_Aparelho(Id_Aparelho)
branco|dbo.Rl_Estoque_Aparelho_Ativo|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Rl_Estoque_Aparelho_Ativo|PK: Id_Aparelho
branco|dbo.Rl_Estoque_Aparelho_Ativo|PK: Id_Ativo
branco|dbo.Rl_Filial_Bilhete_Tipo|FK: Id_Bilhete_Tipo  branco dbo.Bilhete_Tipo(Id_Bilhete_Tipo)
branco|dbo.Rl_Filial_Bilhete_Tipo|FK: Id_Filial  branco dbo.Filial(Id_Filial)
branco|dbo.Rl_Filial_Bilhete_Tipo|PK: Id_Bilhete_Tipo
branco|dbo.Rl_Filial_Bilhete_Tipo|PK: Id_Filial
branco|dbo.Rl_Hi_Centro_Custo_Departamento|FK: Id_Centro_Custo  branco dbo.Centro_Custo(Id_Centro_Custo)
branco|dbo.Rl_Hi_Centro_Custo_Departamento|FK: Id_Departamento  branco dbo.Departamento(Id_Departamento)
branco|dbo.Rl_Hi_Centro_Custo_Departamento|PK: Id_Centro_Custo
branco|dbo.Rl_Hi_Centro_Custo_Departamento|PK: Id_Departamento
branco|dbo.Rl_Hi_Departamento_Setor|FK: Id_Departamento  branco dbo.Departamento(Id_Departamento)
branco|dbo.Rl_Hi_Departamento_Setor|FK: Id_Setor  branco dbo.Setor(Id_Setor)
branco|dbo.Rl_Hi_Departamento_Setor|PK: Id_Departamento
branco|dbo.Rl_Hi_Departamento_Setor|PK: Id_Setor
branco|dbo.Rl_Hi_Filial_Centro_Custo|FK: Id_Centro_Custo  branco dbo.Centro_Custo(Id_Centro_Custo)
branco|dbo.Rl_Hi_Filial_Centro_Custo|FK: Id_Filial  branco dbo.Filial(Id_Filial)
branco|dbo.Rl_Hi_Filial_Centro_Custo|PK: Id_Centro_Custo
branco|dbo.Rl_Hi_Filial_Centro_Custo|PK: Id_Filial
branco|dbo.Rl_Hi_Setor_Secao|FK: Id_Secao  branco dbo.Secao(Id_Secao)
branco|dbo.Rl_Hi_Setor_Secao|FK: Id_Setor  branco dbo.Setor(Id_Setor)
branco|dbo.Rl_Hi_Setor_Secao|PK: Id_Secao
branco|dbo.Rl_Hi_Setor_Secao|PK: Id_Setor
branco|dbo.Rl_Perfil_Ativo_Usuario|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Rl_Perfil_Ativo_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Ativo_Usuario|PK: Id_Ativo
branco|dbo.Rl_Perfil_Ativo_Usuario|PK: Id_Usuario
branco|dbo.Rl_Perfil_Centro_Custo_Usuario|FK: Id_Centro_Custo  branco dbo.Centro_Custo(Id_Centro_Custo)
branco|dbo.Rl_Perfil_Centro_Custo_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Centro_Custo_Usuario|PK: Id_Centro_Custo
branco|dbo.Rl_Perfil_Centro_Custo_Usuario|PK: Id_Usuario
branco|dbo.Rl_Perfil_Conglomerado_Usuario|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Rl_Perfil_Conglomerado_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Conglomerado_Usuario|PK: Id_Conglomerado
branco|dbo.Rl_Perfil_Conglomerado_Usuario|PK: Id_Usuario
branco|dbo.Rl_Perfil_Consumidor_Usuario|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Rl_Perfil_Consumidor_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Consumidor_Usuario|PK: Id_Consumidor
branco|dbo.Rl_Perfil_Consumidor_Usuario|PK: Id_Usuario
branco|dbo.Rl_Perfil_Departamento_Usuario|FK: Id_Departamento  branco dbo.Departamento(Id_Departamento)
branco|dbo.Rl_Perfil_Departamento_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Departamento_Usuario|PK: Id_Departamento
branco|dbo.Rl_Perfil_Departamento_Usuario|PK: Id_Usuario
branco|dbo.Rl_Perfil_Filial_Usuario|FK: Id_Filial  branco dbo.Filial(Id_Filial)
branco|dbo.Rl_Perfil_Filial_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Filial_Usuario|PK: Id_Filial
branco|dbo.Rl_Perfil_Filial_Usuario|PK: Id_Usuario
branco|dbo.Rl_Perfil_Secao_Usuario|FK: Id_Secao  branco dbo.Secao(Id_Secao)
branco|dbo.Rl_Perfil_Secao_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Secao_Usuario|PK: Id_Secao
branco|dbo.Rl_Perfil_Secao_Usuario|PK: Id_Usuario
branco|dbo.Rl_Perfil_Setor_Usuario|FK: Id_Setor  branco dbo.Setor(Id_Setor)
branco|dbo.Rl_Perfil_Setor_Usuario|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Rl_Perfil_Setor_Usuario|PK: Id_Setor
branco|dbo.Rl_Perfil_Setor_Usuario|PK: Id_Usuario
branco|dbo.Rl_Ra_Fatura_Parametro_Ativo|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Rl_Ra_Fatura_Parametro_Ativo|FK: Id_Fatura_Parametro  branco dbo.Fatura_Parametro(Id_Fatura_Parametro)
branco|dbo.Rl_Ra_Fatura_Parametro_Ativo|PK: Id_Ativo
branco|dbo.Rl_Ra_Fatura_Parametro_Ativo|PK: Id_Fatura_Parametro
branco|dbo.Rl_Ra_Fatura_Parametro_Conglomerado|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Rl_Ra_Fatura_Parametro_Conglomerado|FK: Id_Fatura_Parametro  branco dbo.Fatura_Parametro(Id_Fatura_Parametro)
branco|dbo.Rl_Ra_Fatura_Parametro_Conglomerado|PK: Id_Conglomerado
branco|dbo.Rl_Ra_Fatura_Parametro_Conglomerado|PK: Id_Fatura_Parametro
branco|dbo.Rl_Ra_Fatura_Parametro_Filial|FK: Id_Fatura_Parametro  branco dbo.Fatura_Parametro(Id_Fatura_Parametro)
